time_key,Fiscal Year,Fiscal Quarter,Week Number in Quarter
182,FY2023,FY2023-Q3,1
183,FY2023,FY2023-Q3,1
184,FY2023,FY2023-Q3,1
185,FY2023,FY2023-Q3,1
186,FY2023,FY2023-Q3,1
187,FY2023,FY2023-Q3,1
188,FY2023,FY2023-Q3,1
189,FY2023,FY2023-Q3,10
190,FY2023,FY2023-Q3,10
191,FY2023,FY2023-Q3,10
192,FY2023,FY2023-Q3,10
193,FY2023,FY2023-Q3,10
194,FY2023,FY2023-Q3,10
195,FY2023,FY2023-Q3,10
196,FY2023,FY2023-Q3,11
197,FY2023,FY2023-Q3,11
198,FY2023,FY2023-Q3,11
199,FY2023,FY2023-Q3,11
200,FY2023,FY2023-Q3,11
201,FY2023,FY2023-Q3,11
202,FY2023,FY2023-Q3,11
203,FY2023,FY2023-Q3,12
204,FY2023,FY2023-Q3,12
205,FY2023,FY2023-Q3,12
206,FY2023,FY2023-Q3,12
207,FY2023,FY2023-Q3,12
208,FY2023,FY2023-Q3,12
209,FY2023,FY2023-Q3,12
210,FY2023,FY2023-Q3,13
211,FY2023,FY2023-Q3,13
212,FY2023,FY2023-Q3,13
213,FY2023,FY2023-Q3,13
214,FY2023,FY2023-Q3,13
215,FY2023,FY2023-Q3,13
216,FY2023,FY2023-Q3,13
217,FY2023,FY2023-Q3,13
218,FY2023,FY2023-Q3,2
219,FY2023,FY2023-Q3,2
220,FY2023,FY2023-Q3,2
221,FY2023,FY2023-Q3,2
222,FY2023,FY2023-Q3,2
223,FY2023,FY2023-Q3,2
224,FY2023,FY2023-Q3,2
225,FY2023,FY2023-Q3,3
226,FY2023,FY2023-Q3,3
227,FY2023,FY2023-Q3,3
228,FY2023,FY2023-Q3,3
229,FY2023,FY2023-Q3,3
230,FY2023,FY2023-Q3,3
231,FY2023,FY2023-Q3,3
232,FY2023,FY2023-Q3,4
233,FY2023,FY2023-Q3,4
234,FY2023,FY2023-Q3,4
235,FY2023,FY2023-Q3,4
236,FY2023,FY2023-Q3,4
237,FY2023,FY2023-Q3,4
238,FY2023,FY2023-Q3,4
239,FY2023,FY2023-Q3,5
240,FY2023,FY2023-Q3,5
241,FY2023,FY2023-Q3,5
242,FY2023,FY2023-Q3,5
243,FY2023,FY2023-Q3,5
244,FY2023,FY2023-Q3,5
245,FY2023,FY2023-Q3,5
246,FY2023,FY2023-Q3,6
247,FY2023,FY2023-Q3,6
248,FY2023,FY2023-Q3,6
249,FY2023,FY2023-Q3,6
250,FY2023,FY2023-Q3,6
251,FY2023,FY2023-Q3,6
252,FY2023,FY2023-Q3,6
253,FY2023,FY2023-Q3,7
254,FY2023,FY2023-Q3,7
255,FY2023,FY2023-Q3,7
256,FY2023,FY2023-Q3,7
257,FY2023,FY2023-Q3,7
258,FY2023,FY2023-Q3,7
259,FY2023,FY2023-Q3,7
260,FY2023,FY2023-Q3,8
261,FY2023,FY2023-Q3,8
262,FY2023,FY2023-Q3,8
263,FY2023,FY2023-Q3,8
264,FY2023,FY2023-Q3,8
265,FY2023,FY2023-Q3,8
266,FY2023,FY2023-Q3,8
267,FY2023,FY2023-Q3,9
268,FY2023,FY2023-Q3,9
269,FY2023,FY2023-Q3,9
270,FY2023,FY2023-Q3,9
271,FY2023,FY2023-Q3,9
272,FY2023,FY2023-Q3,9
273,FY2023,FY2023-Q3,9
274,FY2023,FY2023-Q4,1
275,FY2023,FY2023-Q4,1
276,FY2023,FY2023-Q4,1
277,FY2023,FY2023-Q4,1
278,FY2023,FY2023-Q4,1
279,FY2023,FY2023-Q4,1
280,FY2023,FY2023-Q4,1
281,FY2023,FY2023-Q4,10
282,FY2023,FY2023-Q4,10
283,FY2023,FY2023-Q4,10
284,FY2023,FY2023-Q4,10
285,FY2023,FY2023-Q4,10
286,FY2023,FY2023-Q4,10
287,FY2023,FY2023-Q4,10
288,FY2023,FY2023-Q4,11
289,FY2023,FY2023-Q4,11
290,FY2023,FY2023-Q4,11
291,FY2023,FY2023-Q4,11
292,FY2023,FY2023-Q4,11
293,FY2023,FY2023-Q4,11
294,FY2023,FY2023-Q4,11
295,FY2023,FY2023-Q4,12
296,FY2023,FY2023-Q4,12
297,FY2023,FY2023-Q4,12
298,FY2023,FY2023-Q4,12
299,FY2023,FY2023-Q4,12
300,FY2023,FY2023-Q4,12
301,FY2023,FY2023-Q4,12
302,FY2023,FY2023-Q4,13
303,FY2023,FY2023-Q4,13
304,FY2023,FY2023-Q4,13
305,FY2023,FY2023-Q4,13
306,FY2023,FY2023-Q4,13
307,FY2023,FY2023-Q4,13
308,FY2023,FY2023-Q4,13
309,FY2023,FY2023-Q4,13
310,FY2023,FY2023-Q4,2
311,FY2023,FY2023-Q4,2
312,FY2023,FY2023-Q4,2
313,FY2023,FY2023-Q4,2
314,FY2023,FY2023-Q4,2
315,FY2023,FY2023-Q4,2
316,FY2023,FY2023-Q4,2
317,FY2023,FY2023-Q4,3
318,FY2023,FY2023-Q4,3
319,FY2023,FY2023-Q4,3
320,FY2023,FY2023-Q4,3
321,FY2023,FY2023-Q4,3
322,FY2023,FY2023-Q4,3
323,FY2023,FY2023-Q4,3
324,FY2023,FY2023-Q4,4
325,FY2023,FY2023-Q4,4
326,FY2023,FY2023-Q4,4
327,FY2023,FY2023-Q4,4
328,FY2023,FY2023-Q4,4
329,FY2023,FY2023-Q4,4
330,FY2023,FY2023-Q4,4
331,FY2023,FY2023-Q4,5
332,FY2023,FY2023-Q4,5
333,FY2023,FY2023-Q4,5
334,FY2023,FY2023-Q4,5
335,FY2023,FY2023-Q4,5
336,FY2023,FY2023-Q4,5
337,FY2023,FY2023-Q4,5
338,FY2023,FY2023-Q4,6
339,FY2023,FY2023-Q4,6
340,FY2023,FY2023-Q4,6
341,FY2023,FY2023-Q4,6
342,FY2023,FY2023-Q4,6
343,FY2023,FY2023-Q4,6
344,FY2023,FY2023-Q4,6
345,FY2023,FY2023-Q4,7
346,FY2023,FY2023-Q4,7
347,FY2023,FY2023-Q4,7
348,FY2023,FY2023-Q4,7
349,FY2023,FY2023-Q4,7
350,FY2023,FY2023-Q4,7
351,FY2023,FY2023-Q4,7
352,FY2023,FY2023-Q4,8
353,FY2023,FY2023-Q4,8
354,FY2023,FY2023-Q4,8
355,FY2023,FY2023-Q4,8
356,FY2023,FY2023-Q4,8
357,FY2023,FY2023-Q4,8
358,FY2023,FY2023-Q4,8
359,FY2023,FY2023-Q4,9
360,FY2023,FY2023-Q4,9
361,FY2023,FY2023-Q4,9
362,FY2023,FY2023-Q4,9
363,FY2023,FY2023-Q4,9
364,FY2023,FY2023-Q4,9
365,FY2023,FY2023-Q4,9
366,FY2024,FY2024-Q1,1
367,FY2024,FY2024-Q1,1
